,x1,y1,z1
0,5,5,1.0
1,5,37,0.008991873
2,5,69,0.016716359
3,5,101,0.024392603
4,5,133,0.03202083
5,5,165,0.039601267
6,5,197,0.047134138
7,5,229,0.054619668
8,5,261,0.06205808
9,5,293,0.069449596
10,5,325,0.07679444
11,5,357,0.084092831
12,5,389,0.091344992
13,5,421,0.098551142
14,5,453,0.105711499
15,5,485,0.112826284
16,5,517,0.119895713
17,5,549,0.126920004
18,5,581,0.133899374
19,5,613,0.140834038
20,5,645,0.147724211
21,5,677,0.154570108
22,5,709,0.161371942
23,5,741,0.168129927
24,5,773,0.174844275
25,5,805,0.181515197
26,5,837,0.188142905
27,5,869,0.194727609
28,5,901,0.201269518
29,5,933,0.207768841
30,5,965,0.214225788
31,5,997,0.220640564
32,5,1029,0.227013377
33,5,1061,0.233344434
34,5,1093,0.23963394
35,5,1125,0.245882099
36,5,1157,0.252089116
37,5,1189,0.258255195
38,5,1221,0.264380538
39,5,1253,0.270465347
40,5,1285,0.276509825
41,5,1317,0.282514171
42,5,1349,0.288478586
43,5,1381,0.294403269
44,5,1413,0.30028842
45,5,1445,0.306134236
46,5,1477,0.311940915
47,5,1509,0.317708654
48,5,1541,0.323437649
49,5,1573,0.329128095
50,5,1605,0.334780188
51,5,1637,0.340394121
52,5,1669,0.345970089
53,5,1701,0.351508283
54,5,1733,0.357008897
55,5,1765,0.362472121
56,5,1797,0.367898148
57,5,1829,0.373287166
58,5,1861,0.378639366
59,5,1893,0.383954937
60,5,1925,0.389234066
61,5,1957,0.394476943
62,5,1989,0.399683753
63,5,2021,0.404854683
64,5,2053,0.409989919
65,5,2085,0.415089646
66,5,2117,0.420154048
67,5,2149,0.42518331
68,5,2181,0.430177614
69,5,2213,0.435137144
70,5,2245,0.44006208
71,5,2277,0.444952604
72,5,2309,0.449808898
73,5,2341,0.45463114
74,5,2373,0.459419511
75,5,2405,0.464174188
76,5,2437,0.468895351
77,5,2469,0.473583177
78,37,5,0.008991873
79,37,37,0.002028278
80,37,69,0.006890327
81,37,101,0.014305969
82,37,133,0.02398788
83,37,165,0.035671529
84,37,197,0.049113622
85,37,229,0.064090654
86,37,261,0.080397542
87,37,293,0.097846351
88,37,325,0.116265089
89,37,357,0.13549659
90,37,389,0.155397459
91,37,421,0.175837087
92,37,453,0.196696726
93,37,485,0.217868633
94,37,517,0.239255253
95,37,549,0.26076847
96,37,581,0.2823289
97,37,613,0.303865229
98,37,645,0.325313601
99,37,677,0.346617037
100,37,709,0.367724905
101,37,741,0.388592413
102,37,773,0.409180146
103,37,805,0.429453631
104,37,837,0.191036785
105,37,869,0.468942264
106,37,901,0.488109661
107,37,933,0.236397844
108,37,965,0.251969486
109,37,997,0.267708048
110,37,1029,0.283579963
111,37,1061,0.299552901
112,37,1093,0.315595836
113,37,1125,0.610120712
114,37,1157,0.347774401
115,37,1189,0.363854892
116,37,1221,0.379895137
117,37,1253,0.395871143
118,37,1285,0.411760348
119,37,1317,0.427541613
120,37,1349,0.443195198
121,37,1381,0.458702747
122,37,1413,0.474047252
123,37,1445,0.489213027
124,37,1477,0.504185665
125,37,1509,0.518952006
126,37,1541,0.533500092
127,37,1573,0.547819126
128,37,1605,0.561899426
129,37,1637,0.575732379
130,37,1669,0.589310399
131,37,1701,0.602626877
132,37,1733,0.615676133
133,37,1765,0.628453374
134,37,1797,0.640954646
135,37,1829,0.653176788
136,37,1861,0.665117387
137,37,1893,0.676774734
138,37,1925,0.688147783
139,37,1957,0.699236107
140,37,1989,0.710039857
141,37,2021,0.720559726
142,37,2053,0.730796904
143,37,2085,0.740753049
144,37,2117,0.750430245
145,37,2149,0.759830971
146,37,2181,0.768958068
147,37,2213,0.777814706
148,37,2245,0.786404356
149,37,2277,0.79473076
150,37,2309,0.802797903
151,37,2341,0.810609989
152,37,2373,0.818171415
153,37,2405,0.825486748
154,37,2437,0.832560705
155,37,2469,0.839398128
156,69,5,0.016716359
157,69,37,0.006890327
158,69,69,0.001630692
159,69,101,0.004804462
160,69,133,0.010239484
161,69,165,0.018202774
162,69,197,0.028811919
163,69,229,0.042068865
164,69,261,0.057887921
165,69,293,0.07611882
166,69,325,0.096565595
167,69,357,0.119001896
168,69,389,0.143183303
169,69,421,0.168857119
170,69,453,0.195770045
171,69,485,0.223674091
172,69,517,0.252331016
173,69,549,0.281515571
174,69,581,0.311017744
175,69,613,0.3406442
176,69,645,0.370219085
177,69,677,0.399584297
178,69,709,0.215863121
179,69,741,0.457141028
180,69,773,0.262459908
181,69,805,0.286491639
182,69,837,0.310855573
183,69,869,0.335439258
184,69,901,0.360135462
185,69,933,0.384842905
186,69,965,0.409466816
187,69,997,0.433919326
188,69,1029,0.45811972
189,69,1061,0.481994554
190,69,1093,0.505477673
191,69,1125,0.528510135
192,69,1157,0.551040051
193,69,1189,0.573022366
194,69,1221,0.594418587
195,69,1253,0.615196471
196,69,1285,0.63532968
197,69,1317,0.654797417
198,69,1349,0.673584048
199,69,1381,0.691678714
200,69,1413,0.709074944
201,69,1445,0.725770269
202,69,1477,0.741765847
203,69,1509,0.757066093
204,69,1541,0.771678329
205,69,1573,0.785612445
206,69,1605,0.798880576
207,69,1637,0.8114968
208,69,1669,0.823476855
209,69,1701,0.834837875
210,69,1733,0.845598141
211,69,1765,0.855776857
212,69,1797,0.865393943
213,69,1829,0.874469844
214,69,1861,0.883025362
215,69,1893,0.8910815
216,69,1925,0.898659321
217,69,1957,0.905779833
218,69,1989,0.912463873
219,69,2021,0.918732019
220,69,2053,0.924604504
221,69,2085,0.930101146
222,69,2117,0.935241293
223,69,2149,0.940043769
224,69,2181,0.944526834
225,69,2213,0.948708157
226,69,2245,0.952604783
227,69,2277,0.956233124
228,69,2309,0.95960894
229,69,2341,0.962747337
230,69,2373,0.965662763
231,69,2405,0.968369011
232,69,2437,0.970879223
233,69,2469,0.973205904
234,101,5,0.024392603
235,101,37,0.014305969
236,101,69,0.004804462
237,101,101,0.001571294
238,101,133,0.004253602
239,101,165,0.009024511
240,101,197,0.016385992
241,101,229,0.026705045
242,101,261,0.040203146
243,101,293,0.056961247
244,101,325,0.076934186
245,101,357,0.099970138
246,101,389,0.12583207
247,101,421,0.154219154
248,101,453,0.184786827
249,101,485,0.217164735
250,101,517,0.250972165
251,101,549,0.285830867
252,101,581,0.321375295
253,101,613,0.357260474
254,101,645,0.212650412
