,x1,y1,z1
6230015,2500,2500,2.953259078147518
6229865,2500,2350,1.7673973709840518
6229715,2500,2200,0.7437213056834496
6229565,2500,2050,0.24628984776157553
6229415,2500,1900,0.06118979095806743
6229265,2500,1750,0.009928007891413201
6229115,2500,1600,0.001062747532870476
6228965,2500,1450,0.00011733442300289813
6228815,2500,1300,3.754057726633488e-06
6228665,2500,1150,4.1692290277177925e-07
6228515,2500,1000,3.865221062523028e-08
6228365,2500,850,5.64582828641435e-09
6228215,2500,700,3.9086503406067585e-09
6228065,2500,550,9.554478726049939e-09
6227915,2500,400,3.56121489815283e-08
6227765,2500,250,2.4546393485443446e-06
6227615,2500,100,0.001931124023189314
6227465,2499,2446,2.6969387892616252
6227315,2499,2296,1.311647481057773
6227165,2499,2146,0.5759224050506933
6227015,2499,1996,0.16388407076422035
6226865,2499,1846,0.02766634895360408
6226715,2499,1696,0.004668226146149019
6226565,2499,1546,0.0003569677879906614
6226415,2499,1396,2.7460873967208992e-05
6226265,2499,1246,2.0507433853615487e-06
6226115,2499,1096,1.8153513135317686e-07
6225965,2499,946,2.345190266774112e-08
6225815,2499,796,1.2160245657133874e-08
6225665,2499,646,3.040061394416917e-09
6225515,2499,496,1.6068896107182847e-08
6225365,2499,346,1.4722585430276337e-07
6225215,2499,196,3.202301562519525e-05
6225065,2499,46,0.03102391648936308
6224915,2498,2392,2.1265623230578012
6224765,2498,2242,0.9764474827530023
6224615,2498,2092,0.3722486190779944
6224465,2498,1942,0.10212330894914612
6224315,2498,1792,0.015157167769388578
6224165,2498,1642,0.0024875342748891275
6224015,2498,1492,0.00019388453391788903
6223865,2498,1342,1.1652277265477187e-05
6223715,2498,1192,1.049691031326314e-06
6223565,2498,1042,7.122430088325318e-08
6223415,2498,892,1.3028834669780459e-08
6223265,2498,742,5.2115338113651035e-09
6223115,2498,592,5.64582828641435e-09
6222965,2498,442,2.4754786197129224e-08
6222815,2498,292,5.880351266007644e-07
6222665,2498,142,0.00042392842032740034
6222515,2497,2488,3.0405712561646556
6222365,2497,2338,1.6224744710114942
6222215,2497,2188,0.693901154628565
6222065,2497,2038,0.2629146118449286
6221915,2497,1888,0.05873330858175017
6221765,2497,1738,0.009233908855101064
6221615,2497,1588,0.000944930681317455
6221465,2497,1438,7.032491885029803e-05
6221315,2497,1288,2.8971881523402343e-06
6221165,2497,1138,2.957546428575047e-07
6221015,2497,988,4.603521752148855e-08
6220865,2497,838,6.514417286032099e-09
6220715,2497,688,4.342944862569495e-09
6220565,2497,538,9.988773205442129e-09
6220415,2497,388,1.0509927735460496e-07
6220265,2497,238,7.5194397556706975e-06
6220115,2497,88,0.005844419968723489
6219965,2496,2434,2.5188008166245908
6219815,2496,2284,1.1319585974667465
6219665,2496,2134,0.497856795168094
6219515,2496,1984,0.15953642312994873
6219365,2496,1834,0.035635899887745265
6219215,2496,1684,0.0042785709766185905
6219065,2496,1534,0.0004164648005209131
6218915,2496,1384,2.2381942856546653e-05
6218765,2496,1234,1.544353923517667e-06
6218615,2496,1084,2.1627870584792304e-07
6218465,2496,934,1.4331718119682983e-08
6218315,2496,784,6.514417286032099e-09
6218165,2496,634,3.4743558672946905e-09
6218015,2496,484,1.650319064130583e-08
6217865,2496,334,4.373347634976073e-07
6217715,2496,184,2.9528251339655274e-05
6217565,2496,34,0.09662957051094553
6217415,2495,2380,2.1194403156235535
6217265,2495,2230,1.0196232502351132
6217115,2495,2080,0.338661082448558
6216965,2495,1930,0.08781235562526449
6216815,2495,1780,0.014211574893754146
6216665,2495,1630,0.001765204704439231
6216515,2495,1480,0.00016568802045107079
6216365,2495,1330,1.3869850048986994e-05
6216215,2495,1180,4.6556393413862893e-07
6216065,2495,1030,8.468743224385377e-08
6215915,2495,880,1.5200307136672514e-08
6215765,2495,730,6.080122810114264e-09
6215615,2495,580,6.080122810114264e-09
6215465,2495,430,2.518908069172172e-08
6215315,2495,280,1.7840853961495203e-06
6215165,2495,130,0.00039774436848050393
6215015,2494,2476,3.1294018177392786
6214865,2494,2326,1.6145939054344802
6214715,2494,2176,0.6862643612748586
6214565,2494,2026,0.2803260266316264
6214415,2494,1876,0.05631021617421582
6214265,2494,1726,0.007028155041564127
6214115,2494,1576,0.0008372503131326933
6213965,2494,1426,5.862589456551357e-05
6213815,2494,1276,2.2170789891932047e-06
6213665,2494,1126,3.535158521329006e-07
6213515,2494,976,5.42868136384205e-08
6213365,2494,826,7.817300764607745e-09
6213215,2494,676,5.2115338113651035e-09
6213065,2494,526,1.0857362165529394e-08
6212915,2494,376,1.0466498273188588e-07
6212765,2494,226,7.050393847396658e-06
6212615,2494,76,0.005734947752595769
6212465,2493,2422,2.5124056425808194
6212315,2493,2272,1.2365897679470002
6212165,2493,2122,0.49082394758133285
6212015,2493,1972,0.1399822590035187
6211865,2493,1822,0.029062319894773626
6211715,2493,1672,0.0031264333653215092
6211565,2493,1522,0.00036207888618864823
6211415,2493,1372,2.6564000079663647e-05
6211265,2493,1222,1.151750493249836e-06
6211115,2493,1072,1.4766014896804335e-07
6210965,2493,922,1.6937485127646734e-08
6210815,2493,772,7.3830062391706525e-09
6210665,2493,622,3.9086503406067585e-09
6210515,2493,472,1.6937485127646734e-08
6210365,2493,322,4.269116855182366e-07
6210215,2493,172,9.161539762549785e-05
6210065,2493,22,0.115378423150147
6209915,2492,2368,1.9601219294032337
6209765,2492,2218,0.8627349281249175
6209615,2492,2068,0.359524394739258
6209465,2492,1918,0.08470871028369958
6209315,2492,1768,0.01589425630648024
6209165,2492,1618,0.0015849508820052639
6209015,2492,1468,0.00010138050709343692
6208865,2492,1318,7.304026016364539e-06
6208715,2492,1168,9.185338005859568e-07
6208565,2492,1018,1.0032203691431226e-07
6208415,2492,868,8.685889720352065e-09
6208265,2492,718,3.040061394416917e-09
6208115,2492,568,6.948711762384229e-09
6207965,2492,418,2.518908069172172e-08
6207815,2492,268,1.694186078428994e-06
6207665,2492,118,0.0012205222569861382
6207515,2491,2464,2.937813761216582
6207365,2491,2314,1.4126584433531988
6207215,2491,2164,0.6382324693926257
6207065,2491,2014,0.1915846697039128
6206915,2491,1864,0.04699071562284809
6206765,2491,1714,0.0052750559186308145
6206615,2491,1564,0.0005600692847058587
6206465,2491,1414,4.8598100045463766e-05
6206315,2491,1264,4.133634550771278e-06
6206165,2491,1114,2.475479252262616e-07
6206015,2491,964,3.430926541956811e-08
6205865,2491,814,8.685889720352065e-09
6205715,2491,664,5.64582828641435e-09
6205565,2491,514,1.1291656694440843e-08
6205415,2491,364,1.0292780439000161e-07
6205265,2491,214,2.1486816721446868e-05
6205115,2491,64,0.01753894892517144
6204965,2490,2410,2.33941301489354
6204815,2490,2260,1.1156723857604527
6204665,2490,2110,0.4836986317411159
6204515,2490,1960,0.12207638527970993
6204365,2490,1810,0.019893005837535623
6204215,2490,1660,0.0022483611163922903
6204065,2490,1510,0.00023111309646945023
6203915,2490,1360,2.1519824736346974e-05
6203765,2490,1210,8.507837233895863e-07
6203615,2490,1060,1.7588930078020112e-07
6203465,2490,910,9.988773205442129e-09
6203315,2490,760,8.251595242262759e-09
6203165,2490,610,4.342944862569495e-09
6203015,2490,460,1.737177961442193e-08
6202865,2490,310,4.095398895222107e-07
6202715,2490,160,8.417573049435801e-05
6202565,2490,10,0.45920960296468244
6202415,2489,2356,1.952375033768436
6202265,2489,2206,0.8546014717165091
6202115,2489,2056,0.3009514345552909
6201965,2489,1906,0.07212358714809114
6201815,2489,1756,0.012423517312220491
6201665,2489,1606,0.00141857639375066
6201515,2489,1456,8.530641963328754e-05
6201365,2489,1306,8.697702683827527e-06
6201215,2489,1156,3.9868251738961355e-07
6201065,2489,1006,6.514417716112036e-08
6200915,2489,856,1.0423067685268613e-08
6200765,2489,706,7.3830062391706525e-09
6200615,2489,556,7.3830062391706525e-09
6200465,2489,406,7.33957736411226e-08
6200315,2489,256,1.5712802779904376e-06
6200165,2489,106,0.001147588911998718
6200015,2488,2452,2.751635308958451
6199865,2488,2302,1.467352934294478
6199715,2488,2152,0.5919914887923416
6199565,2488,2002,0.18679213656776128
6199415,2488,1852,0.03885757315797884
6199265,2488,1702,0.005977884519083849
6199115,2488,1552,0.000650153168927115
6198965,2488,1402,5.739580829508051e-05
6198815,2488,1252,3.162543932054759e-06
6198665,2488,1102,2.948860533276227e-07
6198515,2488,952,4.0389388710012116e-08
6198365,2488,802,9.988773205442129e-09
6198215,2488,652,6.080122810114264e-09
6198065,2488,502,3.0834909305594134e-08
6197915,2488,352,9.945344772707924e-08
6197765,2488,202,2.009744215822062e-05
6197615,2488,52,0.0176909311542645
6197465,2487,2398,2.1721865778192195
6197315,2487,2248,1.1625990558494754
6197165,2487,2098,0.41305661972991853
6197015,2487,1948,0.11827577327014471
6196865,2487,1798,0.026026761721240212
6196715,2487,1648,0.0025737532183459266
6196565,2487,1498,0.00027020174188171765
6196415,2487,1348,1.1647934204133713e-05
6196265,2487,1198,1.016250276662368e-06
6196115,2487,1048,1.1812811512914783e-07
6195965,2487,898,2.3017608174885796e-08
6195815,2487,748,4.342944862569495e-09
6195665,2487,598,4.342944862569495e-09
6195515,2487,448,1.780607410163142e-08
6195365,2487,298,1.2264493486233435e-06
6195215,2487,148,0.00026112464787348034
6195065,2486,2494,3.1011602280411243
6194915,2486,2344,1.7283859118811873
6194765,2486,2194,0.8002612571554821
6194615,2486,2044,0.2949581524571243
6194465,2486,1894,0.07858604318945508
6194315,2486,1744,0.01158163995583814
