x,y005,y001,y0001
5,0.162,0.0259,0.00214
6,0.22,0.0461,0.00566
7,0.0719,0.0117,0.00116
8,0.103,0.0206,0.00272
9,0.138,0.0328,0.00537
10,0.176,0.0483,0.0013
11,0.0672,0.0152,0.00251
12,0.0894,0.0229,0.00439
13,0.115,0.0328,0.00119
14,0.142,0.0449,0.00207
15,0.0594,0.016,0.00338
16,0.0762,0.0224,0.00525
17,0.0953,0.0304,0.00162
18,0.117,0.0111,0.00253
19,0.0514,0.0154,0.00381
20,0.0645,0.0208,0.00123
21,0.0794,0.0272,0.00186
22,0.096,0.035,0.00274
23,0.114,0.0143,0.000913
24,0.134,0.0187,0.00136
25,0.0663,0.024,0.00197
26,0.0796,0.0303,0.00277
27,0.0943,0.0129,0.00383
28,0.11,0.0166,0.00141
29,0.128,0.0209,0.00196
30,0.0663,0.0261,0.00269
31,0.0782,0.032,0.00362
32,0.0913,0.0145,0.00139
33,0.106,0.0181,0.00189
34,0.121,0.0224,0.00253
35,0.0651,0.0273,0.00334
36,0.0759,0.0127,0.00435
37,0.0876,0.0157,0.00178
38,0.1,0.0192,0.00234
39,0.0544,0.0232,0.00304
40,0.0633,0.011,0.00125
41,0.0731,0.0135,0.00165
42,0.0837,0.0164,0.00214
43,0.0952,0.0197,0.000884
44,0.108,0.0236,0.00348
45,0.0611,0.0116,0.0015
46,0.07,0.014,0.00193
47,0.0796,0.0168,0.00245
48,0.0901,0.02,0.00106
49,0.101,0.00996,0.00136
50,0.0587,0.012,0.00173
51,0.0668,0.0143,0.00217
52,0.0756,0.017,0.00271
53,0.0851,0.02,0.00336
54,0.0953,0.0234,0.00154
55,0.106,0.0273,0.00192
56,0.0636,0.0144,0.00238
57,0.0716,0.017,0.00293
58,0.0803,0.0198,0.00136
59,0.0897,0.0104,0.00169
60,0.0996,0.0123,0.00208
61,0.0604,0.0144,0.00255
62,0.0678,0.0168,0.0031
63,0.0758,0.0195,0.00148
64,0.0843,0.0225,0.00182
65,0.0935,0.0259,0.00222
66,0.0573,0.0143,0.00269
67,0.0641,0.0165,0.00324
68,0.0714,0.0191,0.00158
69,0.0793,0.0104,0.00192
70,0.0877,0.0121,0.00232
71,0.0966,0.014,0.00279
72,0.0606,0.0162,0.00138
73,0.0673,0.0186,0.00167
74,0.0746,0.0212,0.002
75,0.0823,0.0242,0.0024
76,0.0905,0.0137,0.00119
77,0.0993,0.0158,0.00144
78,0.0635,0.018,0.00173
79,0.0701,0.0205,0.00207
80,0.0773,0.0117,0.00104
81,0.0849,0.0263,0.00291
82,0.0929,0.0153,0.00343
83,0.0598,0.0174,0.00178
84,0.066,0.0198,0.00211
85,0.0726,0.0223,0.0025
86,0.0796,0.013,0.00129
87,0.0871,0.0148,0.00153
88,0.0949,0.0168,0.00181
89,0.0621,0.019,0.00214
90,0.0682,0.0214,0.00111
91,0.0747,0.0241,0.00295
92,0.0816,0.0143,0.00343
93,0.0889,0.0162,0.00184
94,0.0584,0.0182,0.00215
95,0.0641,0.0205,0.00113
96,0.0701,0.023,0.00134
97,0.0765,0.0138,0.00157
98,0.0833,0.0155,0.00185
99,0.0905,0.0175,0.00216
100,0.0603,0.0196,0.00115
101,0.0659,0.0219,0.00291
102,0.0718,0.0132,0.00158
103,0.0781,0.0149,0.00185
104,0.0848,0.0167,0.00215
105,0.0918,0.0187,0.00511
106,0.0619,0.0209,0.00288
107,0.0674,0.0127,0.00158
108,0.0733,0.0143,0.00184
109,0.0795,0.016,0.00213
110,0.086,0.0178,0.00116
111,0.0929,0.0199,0.00283
112,0.0633,0.0221,0.00325
113,0.0688,0.0136,0.00182
114,0.0745,0.0153,0.0021
115,0.0806,0.017,0.00242
116,0.087,0.0189,0.00135
117,0.0595,0.0117,0.00156
118,0.0646,0.0232,0.00363
119,0.0699,0.0145,0.00207
120,0.0756,0.0162,0.00237
121,0.0816,0.018,0.00272
122,0.0879,0.0199,0.0031
123,0.0606,0.0125,0.00177
124,0.0657,0.0139,0.00203
125,0.071,0.0154,0.00232
126,0.0765,0.0171,0.00132
127,0.0824,0.0189,0.00151
128,0.0886,0.0209,0.00174
129,0.0951,0.023,0.00199
130,0.0666,0.0147,0.00227
131,0.0718,0.0162,0.0013
132,0.0773,0.0179,0.00149
133,0.0831,0.0198,0.00332
134,0.0892,0.0218,0.00194
135,0.0955,0.0239,0.00221
136,0.0674,0.0154,0.00127
137,0.0726,0.017,0.00284
138,0.078,0.0187,0.00166
139,0.0837,0.012,0.00189
140,0.0896,0.0226,0.00215
141,0.0958,0.0146,0.00124
142,0.0682,0.0161,0.00142
143,0.0732,0.0178,0.00162
144,0.0785,0.0195,0.00184
145,0.0841,0.0214,0.00208
146,0.09,0.0139,0.00122
147,0.064,0.0153,0.00138
148,0.0688,0.0168,0.00157
149,0.0738,0.0185,0.00178
150,0.079,0.012,0.00202
151,0.0845,0.0132,0.00119
152,0.0902,0.0145,0.00135
153,0.0646,0.0159,0.00289
154,0.0693,0.0175,0.00173
155,0.0742,0.0191,0.000512
156,0.0794,0.0125,0.00406
157,0.0847,0.0228,0.00131
158,0.0904,0.0151,0.00505
